"","StudentID","thesis_grades"
"1215",17827667,8
"1216",17828792,9
"1217",17839952,7.5
"1218",17840000,8
"1219",17844926,0
"1220",17867102,8.5
"1221",17872715,7.5
"1222",17874263,7
"1223",17874644,8
"1224",17874725,6
"1225",17874749,7.5
"1226",17874878,9
"1227",17874902,7.5
"1228",17875169,7.5
"1229",17875259,8.5
"1230",17875283,7
"1231",17875388,7
"1232",17875412,8
"1233",17875631,8
"1234",17875655,6.5
"1235",17875703,8
"1236",17875898,7.5
"1237",17875946,7.5
"1238",17875970,8
"1239",17875994,8.5
"1240",17876051,8
"1241",17876165,7.5
"1242",17876189,6
"1243",17876213,7
"1244",17876237,7.5
"1245",17876456,13.5
"1246",17876504,9
"1247",17876585,8
"1248",17876723,7
"1249",17876828,7
"1250",17876876,7
"1251",17877005,7.5
"1252",17877050,6
"1253",17877131,6.5
"1254",17877179,7
"1255",17877227,8.5
"1256",17877317,7
"1257",17877422,7
"1258",17877470,7
"1259",17877551,8
"1260",17877599,8.5
"1261",17877665,0
"1262",17877713,8.5
"1263",17877980,7.5
"1264",17878061,8
"1265",17878109,8.5
"1266",17878157,8
"1267",17878352,7
"1268",17878400,8
"1269",17878481,8.5
"1270",17878505,7.5
"1271",17878595,8
"1272",17878643,7
"1273",17878748,0
"1274",17878991,8
"1275",17879039,7
"1276",17879153,8
"1277",17879354,7.5
"1278",17879597,7.5
"1279",17879702,7.5
"1280",17879969,7.5
"1281",17880101,7
"1282",17880125,7
"1283",17880173,7.5
"1284",17880302,7.5
"1285",17880392,0
"1286",17880416,7.5
"1287",17880440,7
"1288",17880464,7
"1289",17880545,0
"1290",17880569,0
"1291",17880635,6
"1292",17880707,8
"1293",17880812,7.5
"1294",17880836,7
"1295",17880860,7.5
"1296",17880884,6
"1297",17880926,8
"1298",17880950,6.5
"1299",17881079,6
"1300",17881127,8
"1301",17881217,7.5
"1302",17881298,0
"1303",17881322,8.5
"1304",17881346,7.5
"1305",17881394,7.5
"1306",17881499,7.5
"1307",17881565,8
"1308",17881589,7.5
"1309",17881718,7.5
"1310",17881742,10
"1311",17881766,7.5
"1312",17881790,8
"1313",17881832,7.5
"1314",17882009,8.5
"1315",17882252,7
"1316",17882300,7.5
"1317",17882324,8
"1318",17882381,6.5
"1319",17882405,7.5
"1320",17882414,5
"1321",17882495,8.5
"1322",17882519,8
"1323",17882567,7
"1324",17882696,7
"1325",17882762,7.5
"1326",17882786,6.5
"1327",17882939,6.5
"1328",17882963,0
"1329",17883137,7.5
"1330",17883266,7.5
"1331",17883290,9.5
"1332",17883485,7
"1333",17883533,8
"1334",17883623,7
"1335",17883647,7
"1336",17883728,7.5
"1337",17883752,8
"1338",17883776,7.5
"1339",17883800,7.5
"1340",17883881,8
"1341",17883995,0
"1342",17884019,16
"1343",17884043,7
"1344",17884067,8
"1345",17884262,8
"1346",17884334,7
"1347",17884391,8
"1348",17884439,7.5
"1349",17884682,0
"1350",17884706,8
"1351",17884730,8.5
"1352",17884811,8.5
"1353",17884901,7.5
"1354",17884925,7
"1355",17884997,8
"1356",17885078,0
"1357",17885102,7
"1358",17885192,7
"1359",17885216,7.5
"1360",17885240,8
"1361",17885264,0
"1362",17885345,9
"1363",17885369,8
"1364",17885588,7
"1365",17885612,7
"1366",17885660,7.5
"1367",17885726,8
"1368",17885750,8.5
"1369",17885774,8
"1370",17885831,8
"1371",17885879,7.5
"1372",17885903,7.5
"1373",17885927,8
"1374",17886029,7.5
"1375",17886053,9
"1376",17886311,7.5
"1377",17886320,7
"1378",17886401,8
"1379",17886425,7.5
"1380",17886449,8.5
"1381",17886497,7
"1382",17886578,7.5
"1383",17886602,8
"1384",17886668,7.5
"1385",17886716,0
"1386",17886740,0
"1387",17886764,6.5
"1388",17886869,8
"1389",17886935,0
"1390",17886959,8
"1391",17886983,7
"1392",17887007,7.5
"1393",17887088,8.5
"1394",17887112,7
"1395",17887136,7.5
"1396",17887160,7
"1397",17887226,8
"1398",17887274,8
