"StudentID","thesis_grades"
18194885,9
18195284,7
18195746,8
18195965,7
18196037,6.5
18196547,7.5
18196676,7.5
18196967,0
18197339,8
18197744,8
18198023,7
18198734,7.5
18198815,8
18199907,7
18200498,8
18200741,8
18201116,8
18203687,8
18203729,0
18204161,6.5
18204671,9
18206708,8
18207368,8
18207521,7
18208079,7
18208346,0
18208856,8.5
18210296,8.5
18210563,8
18210920,7.5
18213035,7
18214919,7.5
18217859,8.5
18218918,0
18219908,7
18219917,7.5
18221615,7.5
18221663,8.5
18222233,8
18223187,8
18223430,9.5
18223778,7.5
18224045,8
18224579,7
18224951,7.5
18226208,9
18226742,7.5
18226832,0
18228065,7.5
18228881,7
18230264,7.5
18230321,0
18230660,7
18232646,8
18232913,8.5
18233867,8
18233996,7.5
18234017,7
18234098,8.5
18235100,9
18235124,8
18235982,7
18236111,0
18238817,0
18240233,8
18240848,6.5
18241115,7.5
18242093,0
18243788,8
18244127,8
18245414,9
18245963,7
18245987,8.5
18246776,7.5
18247730,7.5
18247820,8
18248636,8
18249320,8
18250670,8
18250799,0
18251705,0
18252518,6.5
18252680,7.5
18271538,7.5
18285395,7
18286640,8.5
18286835,7.5
18286907,9
18287966,7
18288908,9
18293822,7
18294974,7.5
18299774,0
18307709,8
18309476,7.5
18311555,8.5
18322787,0
18344366,0
18344561,0
18348653,0
18356012,7
18357164,9
18357245,0
18361526,7
18361679,7.5
18373721,7
18374837,7
18375269,7.5
18384752,7.5
18388007,9
18392942,0
18396614,0
18411968,0
18414641,0
18414866,0
18431189,7
18431828,9
18432026,7.5
18440453,0
18443303,7.5
18445604,9
18449288,0
18451400,8.5
18453758,0
18454850,0
18462221,0
18468788,7
18478763,7
18482000,8
18484868,7.5
18485975,7.5
18490172,6
18490730,0
18492206,0
18493427,0
18494090,7
18498377,0
18506117,8
18527825,0
18529859,6.5
18531731,7.5
18533639,9
18534209,7.5
18540653,8.5
18541607,7.5
18542513,7.5
18544232,7.5
18545387,0
18545477,7.5
18549674,7.5
18551000,8
18552896,8.5
18552938,7.5
18557786,8
18557987,8
18620195,0
18621848,8
18623975,7.5
18626696,7.5
18628973,7
18629855,7
18631433,0
18633395,8
18635126,7.5
18635966,7
18636269,0
18636803,7.5
18643565,9
18644324,7.5
22820468,7
25251353,8
25520108,0
25574168,6
25607909,7
25813637,0
25852781,0
25865129,0
26114234,0
26123207,0
26253077,18
26464502,0
26480042,8
26759327,0
26784464,15
26885171,8.5
26907143,6.5
27331106,0
27371432,0
27448013,8
27547133,8.5
27561080,7.5
27653987,6
27657182,8
27680402,0
27790838,7.5
28003286,8
28220639,8
28259840,0
28296095,8
28307438,7.5
28476638,7
28510799,0
28669763,12.5
28806395,7
28818728,6
28848866,6.5
28856048,7
28870784,0
28875638,8
28927427,8
28957850,8
29028035,8
29109155,6.5
29113607,7
29153180,7.5
29235356,7.5
29250635,0
29251742,8
29258447,8
29290190,6.5
29364221,0
29364560,8
29416634,7
29485124,7
29504516,7.5
