ID,Faculteitscode,Organisatieomschrijving,Loopbaan,Career Nbr,Acad Prog,Studieprogrammaomschrijving,Acad Plan,Studieplanomschrijving,Soort studieplan,Acad Load,Sub-Plan,Subplanomschrijving,Ingangsdatum subplan,Status
17387054,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972506,Spec Developmental Psychology,31/08/2011,Active in Program
17387054,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972506,Spec Developmental Psychology,01/09/2010,Active in Program
17396885,2532S001,Graduate School of Psychology,15,0,4098,M Psychology (res),409825,M Psychology (res),Alg. Mast.,Full-time,,,,Active in Program
17397326,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972505,Spec Clinical Developmental Ps,31/08/2012,Active in Program
17397326,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972513,Track Behaviour & Health,31/08/2012,Active in Program
17397326,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972513,Track Behaviour & Health,01/09/2011,Active in Program
17397326,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972505,Spec Clinical Developmental Ps,01/09/2011,Active in Program
17401775,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/08/2012,Active in Program
17401775,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2010,Active in Program
17409551,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972508,Spec Social Psychology,31/08/2013,Active in Program
17409551,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972508,Spec Social Psychology,01/09/2011,Active in Program
17409599,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972521,Track Training and Development,28/02/2014,Active in Program
17409599,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972521,Track Training and Development,01/09/2012,Active in Program
17409641,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/07/2012,Active in Program
17409641,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2011,Active in Program
17409689,2532S001,Graduate School of Psychology,15,0,4098,M Psychology (res),409825,M Psychology (res),Alg. Mast.,Full-time,,,,Active in Program
17409689,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972506,Spec Developmental Psychology,31/01/2012,Active in Program
17409689,2532S001,Graduate School of Psychology,15,1,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972506,Spec Developmental Psychology,01/09/2010,Active in Program
17409713,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,31/08/2011,Active in Program
17409713,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972503,Spec Clinical Psychology,01/05/2011,Active in Program
17409818,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,30/04/2012,Active in Program
17409818,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2010,Active in Program
17409842,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,31/10/2014,Active in Program
17409842,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972501,Spec Work & Organ. Psychology,01/09/2012,Active in Program
17409932,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972505,Spec Clinical Developmental Ps,31/08/2012,Active in Program
17409932,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972505,Spec Clinical Developmental Ps,01/09/2010,Active in Program
17410004,2532S001,Graduate School of Psychology,15,1,4098,M Psychology (res),409825,M Psychology (res),Alg. Mast.,Full-time,,,,Active in Program
17410004,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972508,Spec Social Psychology,31/08/2013,Active in Program
17410004,2532S001,Graduate School of Psychology,15,0,4097,M Psychologie,409725,M Psychologie,Alg. Mast.,Full-time,40972508,Spec Social Psychology,01/09/2012,Active in Program
